0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.01
1,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.01
2,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.01
3,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.01
4,0.0,0.0,0.01,0.0,0.0,0.01,0.02,0.01,0.01
5,0.0,0.0,0.01,0.0,0.0,0.01,0.02,0.01,0.01
6,0.0,0.0,0.01,0.0,0.0,0.01,0.03,0.01,0.01
7,0.0,0.0,0.01,0.0,0.0,0.01,0.03,0.01,0.01
8,0.0,0.0,0.01,0.0,0.0,0.01,0.02,0.01,0.01
9,0.0,0.0,0.01,0.0,0.0,0.01,0.02,0.01,0.01
10,0.0,0.0,0.01,0.0,0.0,0.01,0.02,0.01,0.01
11,0.0,0.0,0.01,0.0,0.0,0.01,0.02,0.01,0.01
12,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.01
13,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.01
14,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.01
15,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.01
16,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.01
17,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.01
18,0.01,0.01,0.01,0.0,0.0,0.01,0.03,0.01,0.01
19,0.01,0.01,0.01,0.0,0.0,0.01,0.03,0.01,0.01
20,0.01,0.01,0.01,0.0,0.0,0.01,0.03,0.01,0.01
21,0.01,0.01,0.01,0.0,0.0,0.01,0.03,0.01,0.01
22,0.01,0.01,0.01,0.0,0.0,0.01,0.03,0.01,0.01
23,0.01,0.01,0.01,0.0,0.0,0.01,0.03,0.01,0.01
24,0.01,0.01,0.01,0.01,0.0,0.01,0.02,0.01,0.01
25,0.01,0.01,0.01,0.01,0.0,0.01,0.02,0.01,0.01
26,0.02,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01
