0,0.0,0.0,0.02,0.0,0.0,0.03,0.04,0.01,0.01
1,0.0,0.0,0.01,0.0,0.0,0.04,0.03,0.01,0.01
2,0.0,0.0,0.02,0.0,0.0,0.03,0.04,0.02,0.01
3,0.0,0.0,0.02,0.0,0.0,0.02,0.06,0.01,0.01
4,0.0,0.0,0.02,0.0,0.0,0.02,0.06,0.02,0.01
5,0.0,0.0,0.02,0.01,0.0,0.02,0.03,0.01,0.01
6,0.0,0.0,0.02,0.0,0.0,0.0,0.04,0.01,0.02
7,0.0,0.0,0.02,0.0,0.0,0.02,0.06,0.02,0.01
8,0.0,0.0,0.02,0.0,0.0,0.02,0.03,0.01,0.02
9,0.0,0.0,0.04,0.0,0.0,0.02,0.03,0.01,0.01
10,0.0,0.0,0.01,0.0,0.0,0.03,0.04,0.01,0.01
11,0.0,0.0,0.05,0.0,0.0,0.02,0.01,0.01,0.01
12,0.0,0.0,0.02,0.01,0.0,0.02,0.04,0.01,0.01
13,0.0,0.0,0.02,0.0,0.0,0.02,0.03,0.01,0.01
14,0.0,0.0,0.02,0.0,0.0,0.01,0.05,0.01,0.01
15,0.0,0.0,0.02,0.0,0.0,0.02,0.03,0.01,0.01
16,0.0,0.0,0.02,0.01,0.0,0.02,0.03,0.01,0.01
17,0.01,0.0,0.02,0.0,0.0,0.02,0.05,0.01,0.01
18,0.0,0.0,0.02,0.0,0.0,0.03,0.02,0.01,0.01
19,0.0,0.0,0.02,0.0,0.0,0.02,0.03,0.01,0.01
20,0.0,0.0,0.02,0.01,0.0,0.02,0.03,0.01,0.01
21,0.0,0.0,0.02,0.0,0.0,0.02,0.03,0.01,0.01
22,0.01,0.0,0.01,0.0,0.0,0.02,0.04,0.01,0.01
23,0.0,0.0,0.02,0.0,0.0,0.02,0.03,0.02,0.01
24,0.0,0.0,0.04,0.0,0.0,0.02,0.03,0.01,0.01
25,0.0,0.0,0.02,0.0,0.0,0.03,0.03,0.01,0.01
26,0.0,0.0,0.02,0.0,0.0,0.02,0.03,0.0,0.01
27,0.0,0.0,0.01,0.01,0.0,0.02,0.03,0.01,0.01
28,0.0,0.0,0.02,0.01,0.0,0.03,0.03,0.02,0.01
29,0.0,0.0,0.03,0.0,0.0,0.02,0.03,0.01,0.01
30,0.0,0.0,0.02,0.0,0.0,0.02,0.03,0.01,0.01
31,0.0,0.0,0.02,0.0,0.0,0.02,0.03,0.01,0.01
32,0.0,0.0,0.02,0.0,0.0,0.02,0.02,0.01,0.01
33,0.0,0.0,0.04,0.0,0.0,0.02,0.03,0.01,0.01
34,0.0,0.0,0.02,0.0,0.0,0.03,0.03,0.01,0.02
35,0.0,0.0,0.02,0.0,0.0,0.02,0.03,0.01,0.01
36,0.0,0.0,0.01,0.0,0.0,0.02,0.03,0.01,0.02
37,0.0,0.0,0.01,0.0,0.0,0.02,0.03,0.01,0.01
38,0.0,0.0,0.03,0.0,0.0,0.02,0.03,0.01,0.01
39,0.0,0.0,0.03,0.0,0.0,0.02,0.02,0.01,0.01
40,0.0,0.0,0.02,0.0,0.0,0.02,0.03,0.02,0.0
41,0.0,0.0,0.02,0.0,0.0,0.02,0.03,0.01,0.01
42,0.0,0.0,0.01,0.01,0.0,0.02,0.02,0.0,0.01
43,0.0,0.0,0.01,0.0,0.0,0.02,0.02,0.01,0.01
44,0.0,0.0,0.02,0.0,0.0,0.02,0.02,0.01,0.01
45,0.0,0.0,0.02,0.01,0.0,0.02,0.03,0.01,0.02
46,0.0,0.0,0.02,0.0,0.0,0.02,0.03,0.01,0.0
47,0.0,0.0,0.02,0.0,0.0,0.02,0.04,0.01,0.01
48,0.0,0.0,0.01,0.0,0.0,0.02,0.03,0.01,0.01
49,0.01,0.0,0.02,0.0,0.0,0.03,0.02,0.01,0.0
50,0.0,0.0,0.03,0.0,0.0,0.02,0.03,0.02,0.01
51,0.0,0.0,0.02,0.0,0.0,0.02,0.04,0.01,0.01
52,0.0,0.0,0.02,0.0,0.0,0.01,0.04,0.0,0.01
53,0.0,0.0,0.02,0.0,0.0,0.02,0.03,0.01,0.01
54,0.0,0.0,0.02,0.0,0.0,0.0,0.03,0.02,0.01
55,0.0,0.0,0.02,0.0,0.0,0.03,0.03,0.01,0.01
56,0.0,0.0,0.02,0.01,0.0,0.02,0.03,0.01,0.01
57,0.0,0.0,0.01,0.0,0.0,0.02,0.03,0.01,0.01
58,0.0,0.0,0.01,0.0,0.0,0.02,0.03,0.01,0.0
59,0.0,0.0,0.02,0.0,0.0,0.02,0.01,0.01,0.01
