0,0.93,0.92,0.95,0.98,0.96,0.95,0.99,1.0
1,0.93,0.92,0.95,0.98,0.96,0.95,0.99,1.0
2,0.93,0.92,0.95,0.98,0.96,0.95,0.99,1.0
3,0.93,0.92,0.95,0.98,0.96,0.95,0.98,1.0
4,0.93,0.93,0.95,0.98,0.96,0.96,0.99,1.0
5,0.94,0.93,0.95,0.98,0.96,0.96,0.99,1.0
6,0.94,0.93,0.96,0.98,0.97,0.96,0.99,1.0
7,0.94,0.93,0.96,0.99,0.97,0.96,0.99,1.0
8,0.95,0.94,0.96,0.99,0.97,0.96,0.99,1.0
9,0.95,0.94,0.96,0.99,0.97,0.97,1.0,1.0
10,0.95,0.94,0.96,0.98,0.98,0.97,1.0,1.0
11,0.95,0.94,0.96,0.98,0.98,0.97,1.0,1.0
12,0.94,0.94,0.96,0.98,0.97,0.97,1.0,1.0
13,0.94,0.94,0.96,0.98,0.97,0.96,0.99,1.0
14,0.94,0.94,0.96,0.99,0.97,0.96,0.99,1.0
15,0.94,0.94,0.96,0.99,0.98,0.97,0.99,1.0
16,0.94,0.94,0.96,0.98,0.97,0.97,0.99,1.0
17,0.95,0.94,0.96,0.99,0.97,0.96,0.99,1.0
18,0.95,0.94,0.96,0.99,0.98,0.96,1.0,1.0
19,0.95,0.94,0.97,0.99,0.98,0.97,1.0,1.0
20,0.96,0.95,0.97,0.99,0.98,0.97,1.0,1.0
21,0.96,0.95,0.97,0.99,0.98,0.97,1.0,1.0
22,0.96,0.95,0.97,0.99,0.98,0.97,1.0,1.0
23,0.96,0.94,0.97,0.99,0.98,0.97,1.0,1.0
24,0.95,0.94,0.97,0.99,0.98,0.97,1.0,1.0
25,0.95,0.94,0.97,0.99,0.98,0.97,1.0,1.0
26,0.96,0.94,0.97,0.98,0.98,0.97,1.0,1.0
27,0.95,0.93,0.97,0.98,0.98,0.96,1.0,1.0
28,0.95,0.94,0.97,0.98,0.98,0.96,1.0,1.0
29,0.95,0.93,0.97,0.99,0.98,0.96,1.0,1.0
30,0.95,0.94,0.96,0.98,0.98,0.97,1.0,1.0
31,0.95,0.94,0.96,0.99,0.98,0.96,1.0,1.0
32,0.95,0.94,0.96,0.98,0.98,0.96,1.0,1.0
33,0.95,0.93,0.96,0.98,0.97,0.96,1.0,1.0
34,0.95,0.93,0.96,0.99,0.97,0.96,1.0,1.0
35,0.95,0.93,0.96,0.98,0.97,0.96,0.99,1.0
36,0.95,0.93,0.96,0.98,0.97,0.96,1.0,1.0
37,0.94,0.93,0.96,0.98,0.97,0.96,1.0,1.0
38,0.94,0.92,0.96,0.98,0.97,0.95,0.99,1.0
39,0.94,0.92,0.96,0.98,0.97,0.95,0.99,1.0
40,0.95,0.92,0.96,0.98,0.97,0.95,0.99,1.0
41,0.95,0.92,0.96,0.98,0.97,0.95,0.99,1.0
42,0.95,0.92,0.96,0.98,0.97,0.95,0.99,1.0
43,0.95,0.92,0.96,0.98,0.97,0.95,0.99,1.0
44,0.95,0.92,0.96,0.98,0.97,0.95,1.0,1.0
45,0.95,0.93,0.96,0.98,0.97,0.96,1.0,1.0
46,0.95,0.93,0.96,0.98,0.97,0.96,1.0,1.0
47,0.95,0.93,0.96,0.98,0.97,0.96,1.0,1.0
48,0.96,0.93,0.97,0.98,0.98,0.96,0.99,1.0
49,0.97,0.93,0.98,0.98,0.98,0.96,0.99,1.0
50,0.99,0.93,0.99,0.98,0.99,0.96,0.99,1.0
51,1.0,0.93,1.0,0.98,1.0,0.97,0.99,1.0
